UF;Segmento (Grupo);NCM;CEST;Descrição;Alíq. Int. (%);MVA Orig. (%);MVA 4% (%);MVA 7% (%);MVA 12% (%)
BA;AUTOPECAS;84821010;0104900;Rolamento de esferas (YEL);;;;;
BA;AUTOPECAS;84823000;0104900;Rolamento de roletes autocompensador (toneis);;;;;
BA;AUTOPECAS;84825010;0104900;Rolamento de roletes cilindricos (NU);;;;;
BA;AUTOPECAS;84822090;0104900;Rolamento de roletes conicos;;;;;
BA;AUTOPECAS;84821090;0104900;Rolamento de esferas de contato angular;;;;;
BA;AUTOPECAS;84825090;0104900;Rolamento de roletes cilindricos (NJ);;;;;
BA;AUTOPECAS;84822010;0104900;Rolamento de roletes conicos;;;;;
BA;AUTOPECAS;84824000;;Rolamento de agulhas / rolo de leva;;;;;
BA;AUTOPECAS;84829990;0104900;Buchas e partes de rolamentos;;;;;
BA;AUTOPECAS;84833090;0105000;Mancais / caixas de mancal (SNH);;;;;
BA;AUTOPECAS;84832000;;Mancais de rolamento (NP);;;;;
BA;AUTOPECAS;84836090;;Acoplamentos (VULKAN);;;;;
BA;AUTOPECAS;84839000;0105000;Rodas dentadas e partes de transmissao;;;;;
BA;AUTOPECAS;40169300;0100700;Vedacao/retentor de borracha vulcanizada;;;;;
BA;AUTOPECAS;84879000;;Retentores e partes de maquinas;;;;;
BA;AUTOPECAS;40103200;0100600;Correia de transmissao;;;;;
BA;AUTOPECAS;40103400;0100600;Correia de transmissao (3VX);;;;;
BA;AUTOPECAS;40103500;0100600;Correia sincronizadora;;;;;
BA;AUTOPECAS;40103900;0100600;Correia de transmissao (PHG);;;;;
BA;LUBRIFICANTES;27101932;0600700;Oleo lubrificante (MOPAR/sintetico);;;;;
BA;FERRAMENTAS;94032090;;Carro/movel metalico para ferramentas;;;;;
BA;FERRAMENTAS;82060000;0801100;Jogo de ferramentas manuais;;;;;
BA;FERRAMENTAS;84672999;;Ferramenta manual com motor eletrico;;;;;
BA;FERRAMENTAS;84669330;;Guia linear (HIWIN);;;;;
BA;MAQUINAS;84798999;;Pistola impulsora de graxa a bateria;;;;;
BA;FILTROS;84212300;0103700;Filtro de oleo;;;;;
BA;FILTROS;84219999;0103900;Elemento filtrante;;;;;
BA;BEBIDAS;22011000;;Agua mineral;;;;;
